Years,Percent_Members,Union,STUSPS,State
2000,9.4,Members of unions,CO, Colorado
2001,8.9,Members of unions,CO, Colorado
2002,7.9,Members of unions,CO, Colorado
2003,7.8,Members of unions,CO, Colorado
2004,8.4,Members of unions,CO, Colorado
2005,8.3,Members of unions,CO, Colorado
2006,7.7,Members of unions,CO, Colorado
2007,8.7,Members of unions,CO, Colorado
2008,8,Members of unions,CO, Colorado
2009,7,Members of unions,CO, Colorado
2010,6.6,Members of unions,CO, Colorado
2011,8.2,Members of unions,CO, Colorado
2012,7.8,Members of unions,CO, Colorado
2013,7.6,Members of unions,CO, Colorado
2014,9.5,Members of unions,CO, Colorado
2015,8.4,Members of unions,CO, Colorado
2016,9.8,Members of unions,CO, Colorado
