,Federal (FLSA),Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,District of Columbia,Guam,Puerto Rico,U.S. Virgin Islands
2000,$5.15,...,5.65,...,5.15[c],5.75,5.15,6.15,5.65,...,3.25(d),5.25,5.15,5.15[c],5.15(e),5.15,2.65,5.15,...,5.15,5.15,6.00,5.15(e),4.90 - 5.15(g),...,5.15,4.00 - 5.15(g),5.15[c],5.15,5.15,5.15,4.25,4.25,5.15,5.15,2.80 - 4.25(g),2.00 - 5.15(g),6.50,5.15,5.65,...,5.15,...,3.35,5.15,5.75(e),5.15[c],6.50,5.15(d),5.15,1.60,6.15,5.15,3.61 - 5.15(i),"4.30 - 4.65(g,j)"
2001,$5.15,...,5.65,...,5.15[c],6.25,5.15,6.40,6.15,...,3.25(d),5.25,5.15,5.15[c],5.15(e),5.15,2.65,5.15,...,5.15,5.15,6.75,5.15(e),4.90 - 5.15(g),...,5.15,4.00 - 5.15(g),5.15[c],5.15,5.15,5.15,4.25,5.15,5.15,5.15,2.80 - 4.25(g),2.00 - 5.15(g),6.50,5.15,6.15,...,5.15,...,3.35,5.15,6.25(e),5.15[c],6.72,5.15(d),5.15,1.60,6.15,5.15,3.61 - 5.15(i),"4.30 - 4.65(g,j)"
2002,$5.15,...,5.65,...,5.15[c],6.75,5.15,6.70,6.15,...,5.15(d),5.75,5.15,5.15[c],5.15(e),5.15,2.65,5.15,...,5.75,5.15,6.75,5.15(e),4.90 - 5.15(g),...,5.15,4.00 - 5.15(g),5.15[c],5.15,5.15,5.15,4.25,5.15,5.15,5.15,2.80 - 4.25(g),2.00 - 5.15(g),6.50,5.15,6.15,...,5.15,...,5.15,5.15,6.25(e),5.15[c],6.90,5.15(d),5.15,5.15,6.15,5.15,3.61 - 5.15(i),"4.30 - 4.65(g,j)"
2003,$5.15,...,7.15,...,5.15[c],6.75,5.15,6.90,6.15,...,5.15(d),6.25,5.15,5.15[c],5.15(e),5.15,2.65,5.15,...,6.25,5.15,6.75,5.15(e),4.90 - 5.15(g),...,5.15,4.00 - 5.15(g),5.15[c],5.15,5.15,5.15,4.25,5.15,5.15,5.15,2.80 - 4.25(g),2.00 - 5.15(g),6.90,5.15,6.15,...,5.15,...,5.15,5.15,6.25(e),5.15[c],7.01,5.15(d),5.15,5.15,6.15,5.15,3.61 - 5.15(i),"4.30 - 4.65(g,j)"
2004,$5.15,...,7.15,...,5.15[c],6.75,5.15,7.10,6.15,...,5.15(d),6.25,5.15,5.50[c],5.15(e),5.15,2.65,5.15,...,6.25,5.15,6.75,5.15(e),4.90 - 5.15(g),...,5.15,4.00 - 5.15(g),5.15[c],5.15,5.15,5.15,5.15,5.15,5.15,5.15,2.80 - 4.25(g),2.00 - 5.15(g),7.05,5.15,6.75,...,5.15,...,5.15,5.15,6.75(e),5.15[c],7.16,5.15(d),5.15,5.15,6.15,5.15,3.61 - 5.15(i),"4.30 - 4.65(g,j)"
2005,$5.15,...,7.15,...,5.15[c],6.75,5.15,7.10,6.15,...,5.15(d),6.25,5.15,6.50[c],5.15(e),5.15,2.65,5.15,...,6.35,5.15,6.75,5.15(e),4.90 - 5.15(g),...,5.15,4.00 - 5.15(g),5.15[c],5.15,5.15,5.15,5.15,6.00,5.15,5.15,2.80 - 4.25(g),2.00 - 5.15(g),7.25,5.15,6.75,...,5.15,...,5.15,5.15,7.00(e),5.15[c],7.35,5.15(d),5.15,5.15,6.60,5.15,3.61 - 5.15(i),"4.30 - 4.65(g,j)"
2006,5.15,...,7.15,...,5.15 [c],6.75,5.15,7.40,6.15,6.40,5.15(d),6.75,5.15,6.50[c],5.15(e),5.15,2.65,5.15,...,6.50,5.15,6.75,5.15(e),5.25 - 6.15(g),...,5.15,4.00 - 5.15,5.15[c],5.15,5.15,6.15,5.15,6.75,5.15,5.15,2.80 - 4.25(g),2.00 - 5.15,7.50,5.15,6.75,...,5.15,...,5.15,5.15,7.25,5.15[c],7.63,5.15(d),5.70,5.15,7.00,5.15,3.61 - 5.15(i),4.30 - 4.65 (g)
2007,5.15,...,7.15,6.75,6.25[c],7.50,6.85,7.65,6.65,6.67,5.15(d),7.25,5.15,6.50[c],5.15(e),5.15,2.65,5.15,...,6.75,6.15,7.50,6.95(e),5.25-6.15(g),...,6.50,4.00-6.15(g),5.15[c],6.15,5.15,7.15,5.15,7.15,6.15,5.15,6.85,2.00-5.15(g),7.80,6.25,7.40,...,5.15,...,5.15,5.15,7.53(e) ,5.15[c],7.93,5.85,6.50,5.15,7.00,5.15,3.61-5.15(i),"4.30-6.15(g,j)"
2008,5.85,...,7.15,6.90, 6.25[c] ,8.00,7.02,7.65,7.15,6.79,5.15(d),7.25,5.85,7.50[c],5.85(e),7.25,2.65,5.85,...,7.00,6.15,8.00,7.15(e),5.25-6.15(g),...,6.65,4.00-6.25(g),5.85[c],6.33,6.50,7.15,6.50,7.15,6.15,5.85,7.00,2.00-5.85(g),7.95,7.15,7.40,...,5.85,...,5.85,5.85,7.68(e),5.85[c],8.07,6.55,6.50,5.15,7.00,5.85,3.61-5.15(i),4.30-6.15(j)
2009,6.55,...,7.15,7.25, 6.25[c] ,8.00,7.28,8.00,7.15,7.21,5.15(d),7.25,6.55,7.75[c],6.55(e),7.25,2.65,6.55,...,7.25,6.55,8.00,7.40(e),5.25-6.15(g),...,7.05,4.00-6.90(g),6.55[c],6.55-6.85,7.25,7.15,7.50,7.15,6.55,6.55,7.30,2.00-6.55(g),8.40,7.15,7.40,...,6.55,...,6.55,6.55,8.06(e),6.55[c],8.55,7.25,6.50,5.15,7.55,5.85,4.10(i),4.30-6.15(j)
2010,7.25,...,7.75,7.25,6.25[c],8.00,7.24,8.25,7.25,7.25,5.15(d),7.25,7.25,8.00[c],7.25(e),7.25,7.25,7.25,...,7.50,7.25,8.00,7.40(e),5.25-6.15(g),...,7.25,4.00-7.25(g),7.25[c],6.55-7.55,7.25,7.25,7.50,7.25,7.25,7.25,7.30,2.00-7.25(g),8.40,7.25,7.40,...,7.25,...,7.25,7.25,8.06(e),7.25[c],8.55,7.25,7.25,5.15,8.25,7.25,5.08 – 7.25 (i2),4.30-7.25(j)
2011,7.25,...,7.75,7.35,6.25[c],8.00,7.36,8.25,7.25,7.25,5.15(d),7.25,7.25,8.25[c],7.25(e),7.25,7.25,7.25,...,7.50,7.25,8.00,7.40(e),5.25-6.15(g),...,7.25,4.00-7.35(g),7.25[c],7.25-8.25,7.25,7.25,7.50,7.25,7.25,7.25,7.40,2.00-7.25(g),8.50,7.25,7.40,...,7.25,...,7.25,7.25,8.15(e),7.25[c],8.67,7.25,7.25,5.15,8.25,7.25,5.08 – 7.25 (i2),4.30-7.25(j)
2012,7.25,...,7.75,7.65,6.25[c],8.00,7.64,8.25,7.25,7.67,5.15(d),7.25,7.25,8.25[c],7.25(e),7.25,7.25,7.25,...,7.50,7.25,8.00,7.40(e),5.25-6.15(g),...,7.25,4.00-7.65(g),7.25[c],7.25-8.25,7.25,7.25,7.50,7.25,7.25,7.25,7.70,2.00-7.25(g),8.80,7.25,7.40,...,7.25,...,7.25,7.25,8.46(e),7.25[c],9.04,7.25,7.25,5.15,8.25,7.25,5.08 – 7.25 (i2),4.30-7.25(j)
2013,7.25,...,7.75,7.80,6.25[c],8.00,7.78,8.25,7.25,7.79,5.15(d),7.25,7.25,8.25[c],7.25(e),7.25,7.25,7.25,...,7.50,7.25,8.00,7.40(e),5.25-6.15(g),...,7.35,4.00-7.80(g),7.25[c],7.25-8.25,7.25,7.25,7.50,7.25,7.25,7.25,7.85,2.00-7.25(g),8.95,7.25,7.75,...,7.25,...,7.25,7.25,8.60(e),7.25[c],9.19,7.25,7.25,5.15,8.25,7.25,5.08 – 7.25 (i2),4.30-7.25(j)
2014,7.25,...,7.75,7.90,6.25[c],9.00,8.00,8.70,7.75,7.93,5.15(d),7.25,7.25,8.25[c],7.25(e),7.25,7.25,7.25,...,7.50,7.25,8.00,8.15(e),6.50-8.00(g),...,7.50,7.90(g),7.25[c],7.25-8.25,7.25,8.25,7.50,8.00,7.25,7.25,7.25-7.95,2.00-7.25(g),9.10,7.25,8.00,...,7.25,...,7.25,7.25,8.73(e),7.25[c],9.32,7.25,7.25,5.15,9.50,7.25,5.08-7.25(i),
2015,7.25,...,8.75,8.05,7.50[c],9.00,8.23,9.15,8.25,8.05,5.15(d),7.75,7.25,8.25[c],7.25(e),7.25,7.25,7.25,...,7.50,8.25,9.00,8.15(e),7.25-9.00(g),...,7.65,8.05(g),8.00[c],7.25-8.25,7.25,8.38,7.50,8.75,7.25,7.25,7.25-8.10,2.00-7.25(g),9.25,7.25,9.00,...,8.50,...,7.25,7.25,9.15(e),7.25[c],9.47,8.00,7.25,5.15,10.50,8.25,5.08-7.25(i),
2016,7.25,...,9.75,8.05,8.00[c],10.00,8.31,9.60,8.25,8.05,5.15(d),8.50,7.25,8.25[c],7.25(e),7.25,7.25,7.25,...,7.50,8.75,10.00,8.50(e),7.25-9.50(g),...,7.65,8.05(g),9.00[c],7.25-8.25,7.25,8.38,7.50,9.00,7.25,7.25,7.25-8.10,2.00-7.25(g),9.75,7.25,9.60,...,8.55,...,7.25,7.25,9.60(e),7.25[c],9.47,8.75,7.25,5.15,11.50,8.25,5.08-7.25(i),
