Years,Percent_Represented,Union,STUSPS,State
2000,18.9,Represented by unions,WI, Wisconsin
2001,17.4,Represented by unions,WI, Wisconsin
2002,16.4,Represented by unions,WI, Wisconsin
2003,16.8,Represented by unions,WI, Wisconsin
2004,16.9,Represented by unions,WI, Wisconsin
2005,17.2,Represented by unions,WI, Wisconsin
2006,16.1,Represented by unions,WI, Wisconsin
2007,15.4,Represented by unions,WI, Wisconsin
2008,16,Represented by unions,WI, Wisconsin
2009,15.8,Represented by unions,WI, Wisconsin
2010,15.1,Represented by unions,WI, Wisconsin
2011,14.1,Represented by unions,WI, Wisconsin
2012,12,Represented by unions,WI, Wisconsin
2013,13.1,Represented by unions,WI, Wisconsin
2014,12.5,Represented by unions,WI, Wisconsin
2015,9.4,Represented by unions,WI, Wisconsin
2016,9,Represented by unions,WI, Wisconsin
