,name,url
0,1. VAPE IT STORE II,https://jportal.mdcourts.gov/license/pbLicenseDetail.jsp?owi=bVlYUsxIIug%3D
1,2. VAPE IT STORE I,https://jportal.mdcourts.gov/license/pbLicenseDetail.jsp?owi=aRZXzsEWLJI%3D
2,3. VAPEPAD THE,https://jportal.mdcourts.gov/license/pbLicenseDetail.jsp?owi=0DrRbC%2Bbspk%3D
3,4. VAPE FROG Pending *,
4,5. VAPE FROG Pending *,
5,6. VAPE LOFT THE,https://jportal.mdcourts.gov/license/pbLicenseDetail.jsp?owi=ElkmonpAn5A%3D
6,7. VAPE N CIGAR,https://jportal.mdcourts.gov/license/pbLicenseDetail.jsp?owi=WNsXx1%2F7nrw%3D
7,8. VAPE DOJO,https://jportal.mdcourts.gov/license/pbLicenseDetail.jsp?owi=lV28HNF%2FLjs%3D
8,9. VAPE HAVEN Pending *,
9,10. VAPORS LOUNGE Pending *,
10,11. VAPORFI SOUTHSIDE,https://jportal.mdcourts.gov/license/pbLicenseDetail.jsp?owi=gHVCsxOqWIA%3D
11,12. VAPE DO JO,https://jportal.mdcourts.gov/license/pbLicenseDetail.jsp?owi=gplHxgDtybw%3D
12,13. VAPERTETMD Pending *,
13,14. VAPERTEKMD,https://jportal.mdcourts.gov/license/pbLicenseDetail.jsp?owi=0BuVN2RMcr4%3D
14,15. VAPORIOT Pending *,
15,16. VAPE PLUS,https://jportal.mdcourts.gov/license/pbLicenseDetail.jsp?owi=SG%2BWIy2S6jg%3D
16,17. VAPE SOCIAL,https://jportal.mdcourts.gov/license/pbLicenseDetail.jsp?owi=FGK8ZC3wtoU%3D
17,18. VAPE JUNGLE,https://jportal.mdcourts.gov/license/pbLicenseDetail.jsp?owi=B4O7EaXF5QE%3D
18,19. VAPE TIME Pending *,
19,20. VAPEBAR EXPESS Pending *,
20,21. VAPEWERKS,https://jportal.mdcourts.gov/license/pbLicenseDetail.jsp?owi=MPLndeoxRGk%3D
21,22. VAPIST MD,https://jportal.mdcourts.gov/license/pbLicenseDetail.jsp?owi=JcCHExwL6Lk%3D
22,23. VAPOR 99 Pending *,
23,24. VAPOR ALLEY,https://jportal.mdcourts.gov/license/pbLicenseDetail.jsp?owi=Zdh%2BfZK8XbM%3D
24,25. VAPOR EMPORIUM,https://jportal.mdcourts.gov/license/pbLicenseDetail.jsp?owi=690V%2FR2FedM%3D
25,26. VAPOR VILLA,https://jportal.mdcourts.gov/license/pbLicenseDetail.jsp?owi=sPKrQ3pEV44%3D
26,27. VAPOR VILLA,https://jportal.mdcourts.gov/license/pbLicenseDetail.jsp?owi=jA0YI%2Bj9ask%3D
27,28. VAPORS LOUNGE,https://jportal.mdcourts.gov/license/pbLicenseDetail.jsp?owi=2PSp9hq2PGo%3D
28,29. VAPE DOJO,https://jportal.mdcourts.gov/license/pbLicenseDetail.jsp?owi=FaIMBiAKQgg%3D
29,30. VAPE DOJO,https://jportal.mdcourts.gov/license/pbLicenseDetail.jsp?owi=KGBOy3HUHVk%3D
30,31. VAPE DOJO,https://jportal.mdcourts.gov/license/pbLicenseDetail.jsp?owi=wRvGx1uzFco%3D
31,32. VAPE DOJO,https://jportal.mdcourts.gov/license/pbLicenseDetail.jsp?owi=AshbU5iPppI%3D
32,33. VAPEZ YARDHOUSE Pending *,
33,34. VAPERS RING,https://jportal.mdcourts.gov/license/pbLicenseDetail.jsp?owi=JMi0N9Z2wU8%3D
