,issued_by,license_information,location_address,mailing_address,total_amount_paid
0,"['WICOMICO COUNTY, CLERK OF CIRCUIT COURT', 'P.O. BOX 198', 'SALISBURY, MARYLAND 21803-0198']","['License Status: Issued', 'License No.: 22375606', 'Control No.: 22884439', 'Date of Issue: 4/27/2018', 'Months Paid: 12', 'Exp. Date: 4/30/2019', 'Subdivision: 22 Salisbury']","VAPE IT STORE II 1015 S SALISBURY BLVD SALISBURY, MD 21801","AMIN NARGIS 1104 PLANTERS PLACE SALISBURY, MD 21804",$ 41.00
1,"['WICOMICO COUNTY, CLERK OF CIRCUIT COURT', 'P.O. BOX 198', 'SALISBURY, MARYLAND 21803-0198']","['License Status: Issued', 'License No.: 22375605', 'Control No.: 22591855', 'Date of Issue: 4/27/2018', 'Months Paid: 12', 'Exp. Date: 4/30/2019', 'Subdivision: 22 Salisbury']","VAPE IT STORE I 1724 N SALISBURY BLVD UNIT 2 SALISBURY, MD 21801","AMIN NARGIS 1104 PLANTERS PLACE SALISBURY, MD 21804",$ 24.00
2,"['ROBERT P. DUCKWORTH, CLERK OF CIRCUIT COURT', '8 CHURCH CIRCLE, ROOM H-101', 'ANNAPOLIS, MARYLAND 21401']","['License Status: Issued', 'License No.: 02304705', 'Control No.: 02685930', 'Date of Issue: 4/05/2018', 'Months Paid: 12', 'Exp. Date: 4/30/2019', 'Subdivision: 02 Anne Arundel County']","VAPEPAD THE 2299 JOHNS HOPKINS ROAD GAMBRILLS, MD 21054","ANJ DISTRIBUTIONS LLC 2504 ORCHARD KNOLL WAY ODENTON, MD 21113",$ 94.00
3,,,,,
4,,,,,
5,"['ROBERT P. DUCKWORTH, CLERK OF CIRCUIT COURT', '8 CHURCH CIRCLE, ROOM H-101', 'ANNAPOLIS, MARYLAND 21401']","['License Status: Issued', 'License No.: 02310799', 'Control No.: 02686069', 'Date of Issue: 4/03/2018', 'Months Paid: 12', 'Exp. Date: 4/30/2019', 'Subdivision: 02 Anne Arundel County']","VAPE LOFT THE 185 MITCHELLS CHANCE RD EDGEWATER, MD 21037",DISBROW II EMERSON HARRINGTON,$ 154.00
6,"['WAYNE A. ROBEY, CLERK OF CIRCUIT COURT', '9250 BENDIX ROAD', 'COLUMBIA, MARYLAND 21045']","['License Status: Issued', 'License No.: 13343011', 'Control No.: 13856368', 'Date of Issue: 4/30/2018', 'Months Paid: 12', 'Exp. Date: 4/30/2019', 'Subdivision: 13 Howard County']","VAPE N CIGAR 7104 MINSTREL UNIT #7 COLUMBIA, MD 21045",DISCOUNT TOBACCO ESSEX LLC,$ 84.00
7,"['DONALD B. SEALING II, CLERK OF CIRCUIT COURT', '55 NORTH COURT STREET', 'WESTMINSTER, MARYLAND 21157-5155']","['License Status: Issued', 'License No.: 06327188', 'Control No.: 06946760', 'Date of Issue: 4/05/2018', 'Months Paid: 12', 'Exp. Date: 4/30/2019', 'Subdivision: 06 Westminster']","VAPE DOJO 330 ONE FORTY VILLAGE ROAD UNIT 15 WESTMINSTER, MD 21157",FAIRGROUND VILLAGE LLC,$ 179.00
8,,,,,
9,,,,,
10,"['MARILYN BENTLEY, CLERK CIRCUIT COURT', '100 N. CALVERT STREET, ROOM 627', 'BALTIMORE, MARYLAND 21202']","['License Status: Issued', 'License No.: 30390631', 'Control No.: 30190160', 'Date of Issue: 4/20/2018', 'Months Paid: 12', 'Exp. Date: 4/30/2019', 'Subdivision: 30 Baltimore City']","VAPORFI SOUTHSIDE 853 EAST FORT AVE BALTIMORE, MD 21230",JENS VAPOR LLC,$ 189.00
11,"['DONALD B. SEALING II, CLERK OF CIRCUIT COURT', '55 NORTH COURT STREET', 'WESTMINSTER, MARYLAND 21157-5155']","['License Status: Issued', 'License No.: 06328812', 'Control No.: 06328812', 'Date of Issue: 5/03/2018', 'Months Paid: 12', 'Exp. Date: 4/30/2019', 'Subdivision: 06 Sykesville']","VAPE DO JO 2021 LIBERTY ROAD SYKESVILLE, MD 21784",MONROE LLC,$ 154.00
12,,,,,
13,"['WAYNE A. ROBEY, CLERK OF CIRCUIT COURT', '9250 BENDIX ROAD', 'COLUMBIA, MARYLAND 21045']","['License Status: Issued', 'License No.: 13342043', 'Control No.: 13961721', 'Date of Issue: 5/07/2018', 'Months Paid: 12', 'Exp. Date: 4/30/2019', 'Subdivision: 13 Howard County']","VAPERTEKMD 6325 WASHINGTON BLVD STE N ELKRIDGE, MD 21075","SHIN JENNY YOUNG 6800 GUEST CALL SUITE 425 ELKRIDGE, MD 21075",$ 34.00
14,,,,,
15,"['SUSAN R. BRANIECKI, CLERK OF CIRCUIT COURT', '1 West Market Street, Room 104', 'SNOW HILL, MARYLAND 21863']","['License Status: Issued', 'License No.: 23380005', 'Control No.: 23990202', 'Date of Issue: 5/31/2018', 'Months Paid: 12', 'Exp. Date: 4/30/2019', 'Subdivision: 23 Pocomoke']","VAPE PLUS 519 LINDEN AVENUE UNIT 6 POCOMOKE CITY, MD 21851","TRUE ENTERPRISE INC 5967 OXBRIDGE DRIVE SALISBURY, MD 21801",$ 37.00
16,"['BARBARA H. MEIKLEJOHN, CLERK OF CIRCUIT COURT', '50 MARYLAND AVENUE, ROOM 1300', 'ROCKVILLE, MARYLAND 20850']","['License Status: Issued', 'License No.: 15356789', 'Control No.: 15728050', 'Date of Issue: 4/12/2018', 'Months Paid: 12', 'Exp. Date: 4/30/2019', 'Subdivision: 15 Gaithersburg']","VAPE SOCIAL 16521 S FREDERICK AVE GAITHERSBURG, MD 20877",VAPE SOCIAL LLC,$ 32.00
17,"['SHARON L. HANCOCK, CLERK OF CIRCUIT COURT', '200 CHARLES STREET', 'LA PLATA, MARYLAND 20646']","['License Status: Issued', 'License No.: 08332318', 'Control No.: 08844059', 'Date of Issue: 4/09/2018', 'Months Paid: 12', 'Exp. Date: 4/30/2019', 'Subdivision: 08 Charles County']","VAPE JUNGLE 2070 CRAIN HIGHWAY UNIT F WALDORF, MD 20601","VAPE JUNGLE LLC 63 E CHESAPEAKE BEACH ROAD OWINGS, MD 20736",$ 110.00
18,,,,,
19,,,,,
20,"['DAWNE D. LINDSEY, CLERK OF CIRCUIT COURT', '30 WASHINGTON STREET', 'CUMBERLAND, MARYLAND 21502']","['License Status: Issued', 'License No.: 01302079', 'Control No.: 01102169', 'Date of Issue: 6/07/2018', 'Months Paid: 12', 'Exp. Date: 4/30/2019', 'Subdivision: 01 Allegany County']","VAPEWERKS 16115 MCMULLEN HWY SW UNIT 7 CUMBERLAND, MD 21502","VAPEWERKS LLC 155 WILLOW AVENUE KEYSER, WV 26726",$ 132.50
21,"['SYDNEY J. HARRISON, CLERK OF CIRCUIT COURT', '14735 MAIN STREET', 'UPPER MARLBORO, MARYLAND 20772-9987']","['License Status: Issued', 'License No.: 16366948', 'Control No.: 16166805', 'Date of Issue: 5/05/2018', 'Months Paid: 12', 'Exp. Date: 4/30/2019', ""Subdivision: 16 Prince George's County""]","VAPIST MD 6321 OLD BRANCH AVE CAMP SPRINGS, MD 20748","VAPIST MD LLC 2119 CREEKS EDGE LANE WALDORF, MD 20601",$ 69.00
22,,,,,
23,"['MARY ANN SHORTALL, CLERK OF CIRCUIT COURT', '11 NORTH WASHINGTON ST., STE 16', 'EASTON, MARYLAND 21601']","['License Status: Issued', 'License No.: 20372618', 'Control No.: 20739879', 'Date of Issue: 4/24/2018', 'Months Paid: 12', 'Exp. Date: 4/30/2019', 'Subdivision: 20 Easton']","VAPOR ALLEY 8117 OCEAN GATEWAY UNIT #4 EASTON, MD 21601","VAPOR ALLEY LLC 8117 OCEAN GATEWAY UNIT #4 EASTON, MARYLAND 21601",$ 229.00
24,"['SANDRA DALTON, CLERK OF CIRCUIT COURT', '100 WEST PATRICK STREET', 'FREDERICK, MARYLAND 21701']","['License Status: Issued', 'License No.: 10336513', 'Control No.: 10954003', 'Date of Issue: 5/04/2018', 'Months Paid: 12', 'Exp. Date: 4/30/2019', 'Subdivision: 10 Frederick County']","VAPOR EMPORIUM 11717 OLD NATIONAL PIKE UNIT 3B NEW MARKET, MD 21774",VAPOR EMPORIUM MD LLC,$ 229.00
25,"['JULIE L. ENSOR, CLERK OF CIRCUIT COURT', 'P.O. Box 6754', 'TOWSON, MARYLAND 21285-6754']","['License Status: Issued', 'License No.: 03322784', 'Control No.: 03696574', 'Date of Issue: 4/26/2018', 'Months Paid: 12', 'Exp. Date: 4/30/2019', 'Subdivision: 03 Baltimore County']","VAPOR VILLA 1913 LANSDOWNE ROAD SUITE E BALTIMORE, MD 21227",VAPOR VILLA CORP,$ 123.00
26,"['JULIE L. ENSOR, CLERK OF CIRCUIT COURT', 'P.O. Box 6754', 'TOWSON, MARYLAND 21285-6754']","['License Status: Issued', 'License No.: 03322785', 'Control No.: 03696931', 'Date of Issue: 4/26/2018', 'Months Paid: 12', 'Exp. Date: 4/30/2019', 'Subdivision: 03 Baltimore County']","VAPOR VILLA 730 FREDERICK ROAD SUITE 202 CATONSVILLE, MD 21228",VAPOR VILLA CORP,$ 123.00
27,"['TRACY CANTRELL, ACTING CLERK OF CIRCUIT COURT', '41605 COURTHOUSE DRIVE, PO BOX 676', 'LEONARDTOWN, MARYLAND 20650']","['License Status: Issued', 'License No.: 18369505', 'Control No.: 18877819', 'Date of Issue: 4/17/2018', 'Months Paid: 12', 'Exp. Date: 4/30/2019', ""Subdivision: 18 St. Mary's County""]","VAPORS LOUNGE 28943 THREE NOTCH ROAD MECHANICSVILLE, MD 20659",VAPORS LOUNGE LLC,$ 94.00
28,"['JAMES J. REILLY, CLERK OF CIRCUIT COURT', '20 WEST COURTLAND STREET', 'BEL AIR, MARYLAND 21014']","['License Status: Issued', 'License No.: 12341351', 'Control No.: 12958340', 'Date of Issue: 5/29/2018', 'Months Paid: 12', 'Exp. Date: 4/30/2019', 'Subdivision: 12 Bel Air']","VAPE DOJO 138 N BOND STREET BEL AIR, MD 21014","WALKER TRADING CO INC 11600 CROSSROADS CIRCLE SUITE E MIDDLE RIVER, MD 21220",$ 68.50
29,"['ROBERT P. DUCKWORTH, CLERK OF CIRCUIT COURT', '8 CHURCH CIRCLE, ROOM H-101', 'ANNAPOLIS, MARYLAND 21401']","['License Status: Issued', 'License No.: 02310917', 'Control No.: 02111914', 'Date of Issue: 6/01/2018', 'Months Paid: 12', 'Exp. Date: 4/30/2019', 'Subdivision: 02 Anne Arundel County']","VAPE DOJO 331 GAMBRILLS ROAD GAMBRILLS, MD 21054","WALKER TRADING COMPANY INC 11600 CROSSROADS CIRCLE SUITE E MIDDLE RIVER, MD 21220",$ 118.50
30,"['JULIE L. ENSOR, CLERK OF CIRCUIT COURT', 'P.O. Box 6754', 'TOWSON, MARYLAND 21285-6754']","['License Status: Issued', 'License No.: 03322944', 'Control No.: 03837488', 'Date of Issue: 5/30/2018', 'Months Paid: 12', 'Exp. Date: 4/30/2019', 'Subdivision: 03 Baltimore County']","VAPE DOJO 11600 CROSSROAD CIR STE E BALTIMORE, MD 21220",WALKER TRADING COMPANY INC,$ 414.33
31,"['WAYNE A. ROBEY, CLERK OF CIRCUIT COURT', '9250 BENDIX ROAD', 'COLUMBIA, MARYLAND 21045']","['License Status: Issued', 'License No.: 13345355', 'Control No.: 13563224', 'Date of Issue: 5/23/2018', 'Months Paid: 12', 'Exp. Date: 4/30/2019', 'Subdivision: 13 Howard County']","VAPE DOJO 3570 SAINT JOHNS LANE, SUITE 109 ELLICOTT CITY, MD 21042","WALKER TRADING COMPANY INC 11600 CROSSROADS CIRCLE SUITE E MIDDLE RIVER, MD 21220",$ 78.50
32,,,,,
33,"['ROBERT P. DUCKWORTH, CLERK OF CIRCUIT COURT', '8 CHURCH CIRCLE, ROOM H-101', 'ANNAPOLIS, MARYLAND 21401']","['License Status: Issued', 'License No.: 02311125', 'Control No.: 02111865', 'Date of Issue: 5/22/2018', 'Months Paid: 12', 'Exp. Date: 4/30/2019', 'Subdivision: 02 Anne Arundel County']","VAPERS RING 545 BENFIELD RD SEVERNA PARK, MD 21146","YEAGER ONE INC 545 HIGGINS DR ODENTON, MD 21113",$ 116.00
